                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 2.1788,                 5.9218,                0.48316,                 3.9357,                 2.3593,                0.06418,                0.60305,                0.17182,                0.05073,                0.02518,                0.23664,                0.03048,                0.00735,                 2.3463,                 5.7986,                0.23769,                 3.7492,                 2.7885,              0.0017558,              0.0017558,              0.0017558
                     39,                 2.1276,                 5.5432,                0.45884,                 3.9503,                 2.3389,                0.04624,                0.71756,                0.16416,                0.05176,                 0.0241,                0.37405,                0.04893,                0.00895,                 2.2301,                 5.3139,                0.21237,                 3.6515,                 2.6853,              0.0017492,              0.0017492,              0.0017492
                     40,                  2.041,                 5.1552,                0.46003,                 3.8214,                 2.2197,                0.06525,                0.67939,                0.19263,                0.06842,                0.03666,                0.38168,                0.06703,                0.01542,                 2.0788,                 5.2252,                0.21714,                  3.554,                 2.5258,              0.0017426,              0.0017426,              0.0017426
                     41,                 2.0375,                 5.2839,                0.45639,                 3.7448,                 2.2469,                 0.0365,                0.69466,                0.19391,                0.07592,                0.02086,                0.39695,                0.10309,                0.02047,                 2.0875,                  5.245,                0.25064,                 3.5722,                 2.5352,               0.001736,               0.001736,               0.001736
                     42,                 2.0048,                 5.3678,                0.45388,                 3.7371,                 2.2337,                0.06721,                0.62595,                0.18065,                0.06665,                0.03279,                0.30534,                0.06627,                0.01603,                 2.2853,                 5.4295,                0.25372,                 3.6282,                 2.6881,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.9841,                 5.4203,                0.46238,                  3.779,                 2.2014,                0.14144,                0.43511,                0.23864,                0.10792,                0.07196,                0.22137,                0.08378,                0.02095,                 2.2345,                 5.3798,                 0.2591,                 4.1137,                 2.6369,              0.0017228,              0.0017228,              0.0017228
                     44,                 2.0868,                 5.5592,                0.46608,                 3.8094,                 2.2963,                0.02162,                0.91603,                 0.2123,                0.07212,                0.01189,                0.50382,                0.06071,                0.01114,                 2.2947,                  5.522,                 0.2202,                 3.1408,                 2.7581,              0.0017162,              0.0017162,              0.0017162
                     45,                 2.0268,                 5.3572,                0.43924,                 3.7824,                 2.2334,                0.07045,                0.58779,                0.22576,                0.07791,                0.03294,                0.27481,                 0.0577,                0.01504,                 2.2424,                 5.1809,                0.22545,                 3.7604,                 2.6872,              0.0017096,              0.0017096,              0.0017096
                     46,                 2.0499,                 5.5099,                0.48594,                  3.953,                 2.2406,                0.04495,                0.70992,                0.17199,                0.07701,                 0.0261,                0.41221,                0.05898,                0.01256,                 2.1423,                 5.4378,                 0.2347,                 3.6259,                 2.6243,               0.001703,               0.001703,               0.001703
                     47,                 1.9394,                 5.3242,                0.41012,                 3.7431,                 2.1501,                0.06676,                0.70229,                0.23507,                0.09312,                0.04136,                0.43511,                0.08937,                0.01918,                  2.107,                 5.2498,                0.22429,                 3.5362,                 2.5148,              0.0016964,              0.0016964,              0.0016964
                     48,                 2.0509,                 5.5612,                0.49388,                 3.8247,                 2.2938,                0.04404,                0.80153,                0.27018,                0.11948,                0.02391,                0.43511,                0.10564,                0.02303,                  2.094,                 5.3548,                  0.221,                  3.412,                 2.5489,              0.0016898,              0.0016898,              0.0016898
                     49,                 2.1009,                 5.2649,                 0.4533,                 3.8356,                 2.2262,                0.05589,                0.63359,                0.17266,                0.06965,                0.03636,                0.41221,                0.11653,                0.03317,                 2.0275,                 5.0716,                0.21818,                 3.4719,                 2.4717,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.9768,                 5.3508,                0.41837,                 3.7591,                 2.2115,                0.06886,                0.83206,                0.31789,                0.13742,                0.03411,                0.41221,                0.13751,                0.02661,                 2.0245,                 5.1244,                0.20945,                 3.3548,                 2.4529,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.8943,                 5.2264,                0.44036,                 3.7503,                 2.0553,                0.08448,                0.79389,                0.32007,                0.12479,                0.04305,                0.40458,                0.12823,                0.03231,                 2.0851,                 5.2323,                0.25122,                 3.4495,                 2.5178,                0.00167,                0.00167,                0.00167
                     52,                 2.1096,                 5.9245,                0.45173,                 3.6705,                 2.3134,                0.01697,                0.78626,                0.08348,                0.02599,                0.00857,                0.39695,                0.02201,                0.00425,                 2.1234,                  5.443,                0.21371,                 3.2714,                 2.5444,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.8915,                 5.2802,                0.45663,                 3.7391,                 2.1321,                0.08319,                0.76336,                0.28739,                 0.1144,                0.04825,                0.44275,                0.12686,                0.02809,                 2.0469,                 5.0439,                0.21287,                 3.4126,                  2.491,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.8865,                 5.4334,                0.42974,                 3.7313,                 2.1108,                0.06483,                0.66412,                0.19859,                0.07462,                0.03428,                0.35115,                0.09098,                0.01871,                 2.1317,                  5.041,                0.23965,                 3.6583,                 2.5405,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.8181,                 5.0786,                0.39195,                 3.4532,                 2.0345,                0.09101,                0.64122,                0.28734,                0.10914,                  0.039,                0.27481,                0.07168,                0.01825,                 2.1578,                 5.2295,                0.26459,                 3.7906,                 2.5407,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.9108,                 5.4295,                0.43916,                 3.5938,                 2.1371,                0.09496,                0.73282,                0.29704,                0.11936,                0.04847,                0.37405,                 0.0999,                0.02351,                  2.176,                 5.1015,                0.23049,                  3.448,                 2.6043,               0.001637,               0.001637,               0.001637
                     57,                 2.0317,                  5.697,                0.46415,                 3.6686,                 2.2947,                0.06076,                0.73282,                0.20766,                0.07494,                0.03101,                0.37405,                0.05816,                0.01288,                 2.0897,                  5.149,                0.23154,                 3.5172,                 2.5038,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.8978,                 5.3544,                 0.4648,                 3.6275,                 2.1298,                0.09822,                0.63359,                0.31451,                0.12088,                0.05325,                0.34351,                 0.1053,                 0.0199,                 2.1281,                  5.128,                0.23834,                 3.9087,                 2.5098,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.7948,                 5.0739,                0.37837,                 3.5982,                 1.9947,                0.06088,                0.77099,                0.25981,                0.10275,                0.02893,                0.36641,                0.10296,                0.02196,                 1.9443,                 5.0301,                0.23019,                 3.5391,                 2.3917,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.9293,                 5.4074,                0.41546,                 3.7268,                 2.1665,                0.06084,                0.77099,                0.32682,                0.12139,                0.03133,                0.39695,                0.11668,                0.02952,                 2.0461,                 5.2123,                0.21818,                 3.3598,                 2.4693,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.8644,                 5.1499,                0.44794,                 3.5868,                 2.1033,                0.03837,                 0.8855,                0.37967,                0.15137,                0.02249,                0.51908,                0.10771,                0.01964,                 1.8911,                 5.3853,                0.24214,                 2.9153,                 2.3522,               0.001604,               0.001604,               0.001604
                     62,                 1.9208,                 5.3824,                0.43312,                 3.6798,                  2.104,                0.04604,                0.78626,                0.22937,                0.08955,                0.02414,                0.41221,                0.05909,                0.01097,                 2.1275,                 5.3584,                0.23645,                 3.3208,                 2.4704,              0.0015974,              0.0015974,              0.0015974
                     63,                 2.0485,                   5.72,                0.45167,                 3.6394,                 2.2435,                0.06478,                0.85496,                0.34965,                 0.1514,                0.03759,                0.49618,                0.12896,                0.02113,                 2.0726,                 5.0494,                 0.2164,                 3.2628,                 2.4646,              0.0015908,              0.0015908,              0.0015908
                     64,                  1.922,                  5.102,                0.42346,                 3.4739,                 2.1949,                0.04305,                0.89313,                0.37674,                0.14827,                0.02759,                0.57252,                0.10795,                0.02064,                 1.9971,                 4.9476,                0.21609,                 2.9584,                 2.4432,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.9041,                 5.1626,                0.43144,                 3.4952,                 2.1293,                0.07478,                0.83969,                0.36536,                0.13793,                0.04691,                0.52672,                0.15469,                0.02972,                 2.0863,                 4.9927,                0.22351,                 3.2161,                 2.4341,              0.0015776,              0.0015776,              0.0015776
                     66,                 2.0496,                  5.525,                0.43896,                 3.7308,                 2.2525,                0.07178,                0.78626,                0.39501,                0.16341,                 0.0453,                0.49618,                0.16167,                0.03321,                  2.041,                 5.0314,                0.23108,                 3.4238,                  2.418,               0.001571,               0.001571,               0.001571
                     67,                 1.9058,                 5.1637,                0.44093,                 3.3873,                 2.1298,                0.05949,                0.83969,                0.36508,                0.14466,                0.03786,                0.53435,                0.15978,                0.04431,                 1.9955,                 4.8823,                0.20032,                 2.9858,                 2.3606,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.7779,                 4.6515,                0.42189,                 3.5671,                 2.0585,                0.08139,                0.77099,                0.38454,                 0.1579,                0.05077,                0.48092,                0.13332,                0.02769,                 1.9722,                 4.7958,                 0.2037,                 3.4373,                  2.427,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.8647,                 5.0989,                0.42514,                 3.5056,                 2.1906,                0.04709,                0.87786,                0.41385,                0.16762,                0.03194,                0.59542,                0.16856,                0.03549,                 1.9874,                  5.018,                0.22539,                 3.0409,                 2.4537,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.9592,                 4.8631,                0.43131,                 3.5098,                 2.1717,                0.13798,                0.70992,                0.36498,                0.13742,                0.06973,                0.35878,                0.13761,                0.03336,                 2.1804,                 5.0678,                0.24422,                 3.6905,                 2.5854,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.9133,                 4.9711,                0.41101,                 3.5254,                 2.1152,                0.07526,                0.77099,                0.29904,                0.11373,                0.04098,                0.41985,                0.09328,                   0.02,                 2.0337,                 5.0189,                0.23414,                  3.419,                 2.4484,               0.001538,               0.001538,               0.001538
                     72,                 2.0587,                 5.2812,                 0.3943,                   3.53,                 2.2322,                 0.0742,                0.80153,                0.26437,                0.10111,                0.04311,                0.46565,                0.16306,                 0.0402,                 1.9896,                 4.9223,                0.20436,                 3.2283,                 2.4254,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.8338,                 5.0845,                0.39263,                 3.3805,                 2.0748,                0.08593,                0.77863,                0.41723,                0.17063,                0.05055,                0.45802,                0.18036,                0.04539,                 2.0049,                 4.8055,                0.20447,                 3.3843,                 2.3919,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.8721,                 5.0634,                0.46422,                 3.5168,                 2.0631,                 0.1273,                0.63359,                0.32387,                 0.1437,                0.07822,                0.38931,                0.19756,                0.04667,                 1.9144,                  4.695,                0.21799,                 3.9125,                 2.3612,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.8517,                 5.0704,                0.43074,                 3.4861,                 2.0979,                0.03565,                 0.9084,                0.35531,                0.14008,                0.02097,                0.53435,                0.11838,                0.02414,                 1.9841,                 4.8223,                 0.1964,                 3.1406,                 2.4607,              0.0015116,              0.0015116,              0.0015116
